virus_tax_id,tax_id,superkingdom,class,order,family,subfamily,genus,species,no rank,,,,
1046572,108335,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Sida,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;cellular organisms;malvids;Mesangiospermae,,,,
1046572,108377,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Sida,Sida rhombifolia,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;malvids;Magnoliopsida;Euphyllophyta;rosids;cellular organisms;Embryophyta;Mesangiospermae,,,,
1046572,243762,Eukaryota,NA,Asterales,Asteraceae,Asteroideae,Blainvillea,Blainvillea rhomboidea,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;Magnoliopsida;Euphyllophyta;asterids;Heliantheae alliance;cellular organisms;Embryophyta;campanulids;Mesangiospermae,,,,
10815,3630,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Abutilon,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;cellular organisms;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;malvids;Mesangiospermae,,,,
10815,3635,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Gossypium,Gossypium hirsutum,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;malvids;Magnoliopsida;Euphyllophyta;Gunneridae;rosids;cellular organisms;Embryophyta;Mesangiospermae,,,,
10815,3885,Eukaryota,NA,Fabales,Fabaceae,Papilionoideae,Phaseolus,Phaseolus vulgaris,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;fabids;Magnoliopsida;Euphyllophyta;NPAAA clade;50 kb inversion clade;rosids;cellular organisms;Embryophyta;indigoferoid/millettioid clade;Mesangiospermae,,,,
10815,47605,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Hibiscus,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;cellular organisms;eudicotyledons;Gunneridae;Pentapetalae;Mesangiospermae;Embryophyta;malvids,,,,
10815,96479,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Malva,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;cellular organisms;eudicotyledons;Gunneridae;Pentapetalae;Mesangiospermae;Embryophyta;malvids,,,,
10815,108335,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Sida,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;cellular organisms;malvids;Mesangiospermae,,,,
169102,3630,Eukaryota,NA,Malvales,Malvaceae,Malvoideae,Abutilon,NA,root;rosids;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;cellular organisms;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;malvids;Mesangiospermae,,,,
554168,5755,Eukaryota,NA,Longamoebia,Acanthamoebidae,NA,Acanthamoeba,Acanthamoeba castellanii,root;Amoebozoa;cellular organisms;Discosea;Centramoebida,,,,
212035,5755,Eukaryota,NA,Longamoebia,Acanthamoebidae,NA,Acanthamoeba,Acanthamoeba castellanii,root;Amoebozoa;cellular organisms;Discosea;Centramoebida,,,,
212035,5757,Eukaryota,NA,Longamoebia,Acanthamoebidae,NA,Acanthamoeba,Acanthamoeba polyphaga,root;Amoebozoa;cellular organisms;Discosea;Centramoebida,,,,
1269028,5757,Eukaryota,NA,Longamoebia,Acanthamoebidae,NA,Acanthamoeba,Acanthamoeba polyphaga,root;Amoebozoa;cellular organisms;Discosea;Centramoebida,,,,
322019,554066,Eukaryota,Trebouxiophyceae,Chlorellales,Chlorellaceae,NA,Chlorella,Chlorella heliozoae,root;cellular organisms;Chlorella clade,,,,
1168547,136180,Eukaryota,Hexanauplia,Calanoida,Acartiidae,NA,Acartia,Acartia tonsa,root;Opisthokonta;Ecdysozoa;Protostomia;Pancrustacea;Mandibulata;Bilateria;Panarthropoda;Eumetazoa;cellular organisms,,,,
185639,6996,Eukaryota,Insecta,Orthoptera,Gryllidae,Gryllinae,Acheta,NA,root;Opisthokonta;Dicondylia;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Mandibulata;Panarthropoda;Pancrustacea;cellular organisms,,,,
185639,6997,Eukaryota,Insecta,Orthoptera,Gryllidae,Gryllinae,Acheta,Acheta domesticus,root;Opisthokonta;Dicondylia;Ecdysozoa;cellular organisms;Protostomia;Eumetazoa;Mandibulata;Panarthropoda;Pancrustacea;Bilateria,,,,
1404345,6994,Eukaryota,Insecta,Orthoptera,NA,NA,NA,NA,root;Opisthokonta;Protostomia;Dicondylia;Ecdysozoa;Panarthropoda;Mandibulata;Eumetazoa;Pancrustacea;cellular organisms;Bilateria,,,,
1404345,6995,Eukaryota,Insecta,Orthoptera,Gryllidae,NA,NA,NA,root;Opisthokonta;Dicondylia;Ecdysozoa;Eumetazoa;Protostomia;Bilateria;Pancrustacea;Mandibulata;Panarthropoda;cellular organisms,,,,
1291515,6997,Eukaryota,Insecta,Orthoptera,Gryllidae,Gryllinae,Acheta,Acheta domesticus,root;Opisthokonta;Dicondylia;Ecdysozoa;cellular organisms;Protostomia;Eumetazoa;Mandibulata;Panarthropoda;Pancrustacea;Bilateria,,,,
1261100,77214,Eukaryota,Mammalia,Chiroptera,Pteropodidae,Pteropodinae,Eidolon,Eidolon helvum,root;Opisthokonta;Eutheria;Dipnotetrapodomorpha;Tetrapoda;Amniota;Theria;Bilateria;Vertebrata;Teleostomi;Euteleostomi;Eumetazoa;Boreoeutheria;Gnathostomata;Deuterostomia;cellular organisms,,,,
1261101,77214,Eukaryota,Mammalia,Chiroptera,Pteropodidae,Pteropodinae,Eidolon,Eidolon helvum,root;Opisthokonta;Eutheria;Dipnotetrapodomorpha;Tetrapoda;Amniota;Theria;Bilateria;Vertebrata;Teleostomi;Euteleostomi;Eumetazoa;Boreoeutheria;Gnathostomata;Deuterostomia;cellular organisms,,,,
46014,2148,Bacteria,Mollicutes,Acholeplasmatales,Acholeplasmataceae,NA,Acholeplasma,Acholeplasma laidlawii,root;Terrabacteria group;cellular organisms,,,,
1977403,2148,Bacteria,Mollicutes,Acholeplasmatales,Acholeplasmataceae,NA,Acholeplasma,Acholeplasma laidlawii,root;Terrabacteria group;cellular organisms,,,,
1589747,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1416009,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1416008,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1589748,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1589746,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1610509,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1664246,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
1664247,85698,Bacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,NA,Achromobacter,Achromobacter xylosoxidans,root;cellular organisms,,,,
437444,269667,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus convivator,root;TACK group;cellular organisms,,,,
1732173,2281,Archaea,Thermoprotei,Sulfolobales,NA,NA,NA,NA,root;TACK group;cellular organisms,,,,
1732174,2281,Archaea,Thermoprotei,Sulfolobales,NA,NA,NA,NA,root;TACK group;cellular organisms,,,,
235266,12915,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus infernus,root;TACK group;cellular organisms,,,,
235266,563177,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus hospitalis,root;TACK group;cellular organisms,,,,
300186,314564,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus pozzuoliensis,root;TACK group;cellular organisms,,,,
300186,315458,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus sp. F28,root;TACK group;cellular organisms;unclassified Acidianus,,,,
346881,12914,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,NA,root;TACK group;cellular organisms,,,,
346882,269667,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus convivator,root;TACK group;cellular organisms,,,,
346883,269667,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus convivator,root;TACK group;cellular organisms,,,,
346884,269667,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus convivator,root;TACK group;cellular organisms,,,,
512792,518068,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus uzoniensis,root;TACK group;cellular organisms,,,,
309181,315460,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus sp. Acii26,root;TACK group;cellular organisms;unclassified Acidianus,,,,
1732175,2281,Archaea,Thermoprotei,Sulfolobales,NA,NA,NA,NA,root;TACK group;cellular organisms,,,,
693629,12914,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,NA,root;TACK group;cellular organisms,,,,
693629,41673,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus brierleyi,root;TACK group;cellular organisms,,,,
1797140,12914,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,NA,root;TACK group;cellular organisms,,,,
1797140,1872104,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus sp.,root;TACK group;cellular organisms;unclassified Acidianus,,,,
315953,269667,Archaea,Thermoprotei,Sulfolobales,Sulfolobaceae,NA,Acidianus,Acidianus convivator,root;TACK group;cellular organisms,,,,
1229761,637389,Bacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,NA,Acidithiobacillus,Acidithiobacillus caldus,root;cellular organisms;Acidithiobacillus caldus ATCC 51756,,,,
2010329,80869,Bacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,Acidovorax,Acidovorax citrulli,root;cellular organisms,,,,
889876,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1273713,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1235824,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
2015804,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
762660,469,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,NA,root;cellular organisms,,,,
760732,40214,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter johnsonii,root;cellular organisms,,,,
760939,40214,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter johnsonii,root;cellular organisms,,,,
154784,469,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,NA,root;cellular organisms,,,,
154784,70347,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter genomosp. 16BJ,root;cellular organisms,,,,
1187128,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1221835,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1647373,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1243183,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1735582,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1458669,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1792222,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1406779,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
691318,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1698439,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1229760,469,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,NA,root;cellular organisms,,,,
1229760,487316,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter soli,root;cellular organisms,,,,
1406780,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1916127,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1481186,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1837876,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1605379,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1481187,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1932886,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1932885,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
2016049,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
2016050,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
2016050,1217636,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;Acinetobacter baumannii NIPH 528;cellular organisms,,,,
2016051,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
2016051,1217645,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;Acinetobacter baumannii NIPH 2061;cellular organisms,,,,
2126803,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1701807,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1701808,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1970374,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1970374,400667,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms;Acinetobacter baumannii ATCC 17978,,,,
1852629,927193,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms;Acinetobacter baumannii A118,,,,
2016052,469,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,NA,root;cellular organisms,,,,
2016052,48296,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter pittii,root;cellular organisms,,,,
2016053,469,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,NA,root;cellular organisms,,,,
2016053,48296,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter pittii,root;cellular organisms,,,,
1983409,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1965454,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1983525,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1505225,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1628721,472,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter sp.,root;cellular organisms;unclassified Acinetobacter,,,,
1628720,472,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter sp.,root;cellular organisms;unclassified Acinetobacter,,,,
1560342,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
1049283,470,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter baumannii,root;cellular organisms,,,,
279006,40214,Bacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,Acinetobacter,Acinetobacter johnsonii,root;cellular organisms,,,,
320884,7904,Eukaryota,Actinopteri,Acipenseriformes,Acipenseridae,Acipenserinae,Acipenser,Acipenser transmontanus,root;Opisthokonta;Bilateria;Vertebrata;Teleostomi;Euteleostomi;Eumetazoa;Gnathostomata;Deuterostomia;cellular organisms,,,,
101764,46246,Eukaryota,NA,Ranunculales,Ranunculaceae,Ranunculoideae,Delphinium,NA,root;Magnoliopsida;Tracheophyta;Euphyllophyta;cellular organisms;Spermatophyta;Embryophyta;Mesangiospermae,,,,
1776763,3627,Eukaryota,NA,Ericales,Actinidiaceae,NA,Actinidia,Actinidia deliciosa,root;Magnoliopsida;asterids;Euphyllophyta;Tracheophyta;eudicotyledons;cellular organisms;Spermatophyta;Gunneridae;Pentapetalae;Embryophyta;Mesangiospermae,,,,
2081931,3625,Eukaryota,NA,Ericales,Actinidiaceae,NA,Actinidia,Actinidia chinensis,root;Magnoliopsida;asterids;Euphyllophyta;Tracheophyta;eudicotyledons;cellular organisms;Spermatophyta;Gunneridae;Pentapetalae;Embryophyta;Mesangiospermae,,,,
2024724,3625,Eukaryota,NA,Ericales,Actinidiaceae,NA,Actinidia,Actinidia chinensis,root;Magnoliopsida;asterids;Euphyllophyta;Tracheophyta;eudicotyledons;cellular organisms;Spermatophyta;Gunneridae;Pentapetalae;Embryophyta;Mesangiospermae,,,,
1112769,3624,Eukaryota,NA,Ericales,Actinidiaceae,NA,Actinidia,NA,root;Magnoliopsida;asterids;Euphyllophyta;Tracheophyta;eudicotyledons;cellular organisms;Spermatophyta;Gunneridae;Pentapetalae;Embryophyta;Mesangiospermae,,,,
1112769,200313,Eukaryota,NA,Solanales,Solanaceae,Nicotianoideae,Nicotiana,Nicotiana occidentalis,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;Magnoliopsida;Euphyllophyta;Embryophyta;asterids;cellular organisms;lamiids;Mesangiospermae,,,,
1112770,3625,Eukaryota,NA,Ericales,Actinidiaceae,NA,Actinidia,Actinidia chinensis,root;Magnoliopsida;asterids;Euphyllophyta;Tracheophyta;eudicotyledons;cellular organisms;Spermatophyta;Gunneridae;Pentapetalae;Embryophyta;Mesangiospermae,,,,
1112770,200313,Eukaryota,NA,Solanales,Solanaceae,Nicotianoideae,Nicotiana,Nicotiana occidentalis,root;Pentapetalae;Tracheophyta;Spermatophyta;eudicotyledons;Gunneridae;Magnoliopsida;Euphyllophyta;Embryophyta;asterids;cellular organisms;lamiids;Mesangiospermae,,,,
1331744,78511,Eukaryota,NA,Saxifragales,Grossulariaceae,NA,Ribes,Ribes nigrum,root;Magnoliopsida;Spermatophyta;Tracheophyta;Euphyllophyta;eudicotyledons;Gunneridae;Pentapetalae;Embryophyta;cellular organisms;Mesangiospermae,,,,
338473,1655,Bacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,NA,Actinomyces,Actinomyces naeslundii,root;Terrabacteria group;cellular organisms,,,,
279303,442459,Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,Actinoplanes,Actinoplanes sp. SN223/29,root;Terrabacteria group;cellular organisms;unclassified Actinoplanes,,,,
92444,7460,Eukaryota,Insecta,Hymenoptera,Apidae,Apinae,Apis,Apis mellifera,root;Opisthokonta;Dicondylia;Protostomia;Pancrustacea;Mandibulata;Bilateria;Panarthropoda;Eumetazoa;Ecdysozoa;cellular organisms,,,,
340187,7029,Eukaryota,Insecta,Hemiptera,Aphididae,Aphidinae,Acyrthosiphon,Acyrthosiphon pisum,root;Opisthokonta;Dicondylia;Ecdysozoa;Protostomia;Pancrustacea;Mandibulata;Bilateria;Panarthropoda;Eumetazoa;cellular organisms,,,,
1611877,13203,Eukaryota,Insecta,Diptera,Psychodidae,Phlebotominae,Phlebotomus,NA,root;Opisthokonta;Dicondylia;Ecdysozoa;Protostomia;Pancrustacea;Mandibulata;Bilateria;Panarthropoda;Eumetazoa;cellular organisms,,,,
1611877,44556,Eukaryota,Insecta,Diptera,Psychodidae,Phlebotominae,Phlebotomus,NA,root;Opisthokonta;Dicondylia;Ecdysozoa;Protostomia;Pancrustacea;Mandibulata;Bilateria;Panarthropoda;Eumetazoa;cellular organisms,,,,
31612,9913,Eukaryota,Mammalia,NA,Bovidae,Bovinae,Bos,Bos taurus,root;Opisthokonta;Eutheria;Dipnotetrapodomorpha;Tetrapoda;Amniota;Theria;Cetartiodactyla;Bilateria;Vertebrata;Teleostomi;Euteleostomi;Eumetazoa;Boreoeutheria;Gnathostomata;Deuterostomia;cellular organisms,,,,
31612,9970,Eukaryota,Mammalia,NA,Bovidae,Bovinae,Syncerus,Syncerus caffer,root;Opisthokonta;Eutheria;Dipnotetrapodomorpha;Tetrapoda;Amniota;Theria;Cetartiodactyla;Bilateria;Vertebrata;Teleostomi;Euteleostomi;Eumetazoa;Boreoeutheria;Gnathostomata;Deuterostomia;cellular organisms,,,,
31612,58271,Eukaryota,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Culicoides,NA,root;Opisthokonta;Dicondylia;Protostomia;Pancrustacea;Mandibulata;Bilateria;Panarthropoda;Eumetazoa;Ecdysozoa;cellular organisms,,,,
31612,89462,Eukaryota,Mammalia,NA,Bovidae,Bovinae,Bubalus,Bubalus bubalis,root;Opisthokonta;Eutheria;Dipnotetrapodomorpha;Tetrapoda;Amniota;Theria;Cetartiodactyla;Vertebrata;Bilateria;Teleostomi;Euteleostomi;Eumetazoa;Boreoeutheria;Gnathostomata;Deuterostomia;cellular organisms,,,,
